canonical_id,canonical_term,term_type,synonyms_json,abbreviations_json,member_term_ids_json,freq_total,freq_docs,created_at,updated_at
1,effective usage ratio,,"[""Effective Usage Ratio""]",[],[1],4,1,2025-12-12T09:17:39Z,2025-12-12T09:17:39Z
2,account hierarchy,,"[""Account Hierarchy""]",[],[2],5,3,2025-12-12T09:17:39Z,2025-12-12T09:17:39Z
3,configuration,,"[""Configuration"", ""Typical configuration""]",[],"[3, 354]",90,41,2025-12-12T09:17:39Z,2025-12-12T09:17:39Z
5,depth,,[],[],[5],7,5,2025-12-12T09:17:39Z,2025-12-12T09:17:39Z
6,share factor,,[],[],[6],25,3,2025-12-12T09:17:39Z,2025-12-12T09:17:39Z
10,account,,"[""accounts"", ""specific accounts""]",[],"[10, 7830]",128,17,2025-12-12T09:17:39Z,2025-12-12T09:17:39Z
13,priority,,[],[],[13],76,24,2025-12-12T09:17:39Z,2025-12-12T09:17:39Z
14,multifactor plugin,,[],[],[14],7,6,2025-12-12T09:17:39Z,2025-12-12T09:17:39Z
18,share formula,,"[""Share Formula""]",[],[18],5,2,2025-12-12T09:17:39Z,2025-12-12T09:17:39Z
20,formula,,[],[],[20],9,3,2025-12-12T09:17:39Z,2025-12-12T09:17:39Z
21,result,,[],[],[21],25,14,2025-12-12T09:17:39Z,2025-12-12T09:17:39Z
22,level,,[],[],[22],37,18,2025-12-12T09:17:39Z,2025-12-12T09:17:39Z
23,tree,,[],[],[23],14,8,2025-12-12T09:17:39Z,2025-12-12T09:17:39Z
24,root,,[],[],[24],35,17,2025-12-12T09:17:39Z,2025-12-12T09:17:39Z
28,share,,"[""shares""]",[],[28],37,7,2025-12-12T09:17:39Z,2025-12-12T09:17:39Z
30,life decay,,[],[],[30],6,4,2025-12-12T09:17:39Z,2025-12-12T09:17:39Z
33,bit,,[],[],[33],5,5,2025-12-12T09:17:39Z,2025-12-12T09:17:39Z
36,sall_sibling,,"[""Sall_siblings""]",[],[36],3,2,2025-12-12T09:17:39Z,2025-12-12T09:17:39Z
38,usage ratio,,[],[],[38],3,1,2025-12-12T09:17:39Z,2025-12-12T09:17:39Z
40,sibling,,"[""siblings""]",[],[40],8,4,2025-12-12T09:17:39Z,2025-12-12T09:17:39Z
41,child,,"[""children""]",[],[41],21,6,2025-12-12T09:17:39Z,2025-12-12T09:17:39Z
42,time,,"[""times""]",[],[42],237,52,2025-12-12T09:17:39Z,2025-12-12T09:17:39Z
43,parent account,,[],[],[43],5,4,2025-12-12T09:17:39Z,2025-12-12T09:17:39Z
46,ancestor,,"[""ancestors""]",[],[46],7,2,2025-12-12T09:17:39Z,2025-12-12T09:17:39Z
48,hand,,[],[],[48],6,5,2025-12-12T09:17:39Z,2025-12-12T09:17:39Z
50,job,,"[""jobs"", ""multiple jobs""]",[],"[50, 248]",1530,70,2025-12-12T09:17:39Z,2025-12-12T09:17:39Z
52,rparent,,"[""Rparent""]",[],[52],3,1,2025-12-12T09:17:39Z,2025-12-12T09:17:39Z
53,usage,,[],[],[53],46,16,2025-12-12T09:17:39Z,2025-12-12T09:17:39Z
58,parent,,[],[],[58],16,7,2025-12-12T09:17:39Z,2025-12-12T09:17:39Z
62,case,,[],[],[62],92,41,2025-12-12T09:17:39Z,2025-12-12T09:17:39Z
64,function,,[],[],[64],79,23,2025-12-12T09:17:39Z,2025-12-12T09:17:39Z
65,slurm.conf parameter,,"[""slurm.conf parameters""]",[],[65],6,6,2025-12-12T09:17:39Z,2025-12-12T09:17:39Z
67,man page,,[],[],[67],38,20,2025-12-12T09:17:39Z,2025-12-12T09:17:39Z
68,detail,,"[""details""]",[],[68],88,39,2025-12-12T09:17:39Z,2025-12-12T09:17:39Z
69,priorityflag,,"[""PriorityFlags""]",[],[69],5,3,2025-12-12T09:17:39Z,2025-12-12T09:17:39Z
70,set,,"[""Set""]",[],[70],69,31,2025-12-12T09:17:39Z,2025-12-12T09:17:39Z
71,prioritytype,,"[""PriorityType""]",[],[71],6,5,2025-12-12T09:17:39Z,2025-12-12T09:17:39Z
72,multifactor,,[],[],[72],11,6,2025-12-12T09:17:39Z,2025-12-12T09:17:39Z
73,document,,[],[],[73],17,14,2025-12-12T09:17:39Z,2025-12-12T09:17:39Z
75,high throughput computing,,[],[],[75],4,2,2025-12-12T09:17:39Z,2025-12-12T09:17:39Z
76,execution,,[],[],[76],25,19,2025-12-12T09:17:39Z,2025-12-12T09:17:39Z
81,knowledge,,[],[],[81],4,4,2025-12-12T09:17:39Z,2025-12-12T09:17:39Z
82,slurm,,"[""Slurm"", ""multiple Slurm""]",[],"[82, 2973]",796,78,2025-12-12T09:17:39Z,2025-12-12T09:17:39Z
