child_canonical_id,child_canonical_term,parent_canonical_id,parent_canonical_term,source_flags,evidence_count
1576,interactive step,432,step,"head,subsumption",2
2349,job preemption,2314,preemption,"head,subsumption",2
3021,valid configuration,3,configuration,"head,subsumption",2
5111,resource reservation,386,reservation,"head,subsumption",2
1337,salloc command,1336,command,"head,subsumption",2
148,slurm communication,150,communication,"head,subsumption",2
1958,logical processor,2047,processor,"head,subsumption",2
2780,single partition,416,partition,"head,subsumption",2
110,maximum number,123,number,"head,subsumption",2
749,job failure,1269,failure,"head,subsumption",2
1274,lua script,197,script,"head,subsumption",2
6345,point number,123,number,"head,subsumption",2
1340,default partition,416,partition,"head,subsumption",2
3261,state file,105,file,"head,subsumption",2
2715,slurm user,166,user,"head,subsumption",2
7103,authentication plugin,179,plugin,"head,subsumption",2
472,qos,215,option,"head,subsumption",2
3968,individual task,222,task,"head,subsumption",2
3668,plugin function,64,function,"head,subsumption",2
4688,completing,395,state,"head,subsumption",2
812,gpu,830,resource,"head,subsumption",2
1858,user account,10,account,"head,subsumption",2
3206,absolute path,1458,path,"head,subsumption",2
2287,slurmd.service file,105,file,"head,subsumption",2
237,job submit time,42,time,"head,subsumption",2
2355,prioritytier partition,416,partition,"head,subsumption",2
250,configuration parameter,268,parameter,"head,subsumption",2
2283,slurmctld node,409,node,"head,subsumption",2
2336,job request,146,request,"head,subsumption",2
2340,maximum memory,116,memory,"head,subsumption",2
2475,slurm plugin,179,plugin,"head,subsumption",2
1257,minor type,363,type,"head,subsumption",2
663,long time,42,time,"head,subsumption",2
3443,site_factor plugin,179,plugin,"head,subsumption",2
2175,optional plugin,179,plugin,"head,subsumption",2
2331,cons_tre plugin,179,plugin,"head,subsumption",2
2782,start time,42,time,"head,subsumption",2
3062,text file,105,file,"head,subsumption",2
805,cpu,830,resource,"head,subsumption",2
6060,authenticating proxy,1926,proxy,"head,subsumption",2
1280,global initialization,1290,initialization,"head,subsumption",2
2953,slurm version,985,version,"head,subsumption",2
3753,single node,409,node,"head,subsumption",2
1292,slurm init,1291,init,"head,subsumption",2
4405,sinfo command,1336,command,"head,subsumption",2
4527,current job,50,job,"head,subsumption",2
2341,cpu option,215,option,"head,subsumption",2
367,api,1054,call,"head,subsumption",2
3989,slurm database daemon,1268,daemon,"head,subsumption",2
3010,unique directory,1496,directory,"head,subsumption",2
1182,billing weight,979,weight,"head,subsumption",2
365,json,330,token,"head,subsumption",2
1805,slurmrestd daemon,1268,daemon,"head,subsumption",2
1975,task distribution option,215,option,"head,subsumption",2
3804,future job,50,job,"head,subsumption",2
356,job default,118,default,"head,subsumption",2
1383,detailed information,348,information,"head,subsumption",2
2093,bind option,215,option,"head,subsumption",2
4392,late execution,76,execution,"head,subsumption",2
812,gpu,2176,device,"head,subsumption",2
2266,priority order,152,order,"head,subsumption",2
3028,srun option,215,option,"head,subsumption",2
2777,leaf switch,871,switch,"head,subsumption",2
2838,partition qos,472,qos,"head,subsumption",2
1870,parent directory,1496,directory,"head,subsumption",2
253,state change,101,change,"head,subsumption",2
4685,managing job,50,job,"head,subsumption",2
1242,command line option,215,option,"head,subsumption",2
2857,job qos,472,qos,"head,subsumption",2
4737,core file,105,file,"head,subsumption",2
3667,accounting storage plugin,179,plugin,"head,subsumption",2
2763,priority job,50,job,"head,subsumption",2
178,accounting record,210,record,"head,subsumption",2
3967,resource usage,53,usage,"head,subsumption",2
1003,job signal response,207,response,"head,subsumption",2
4132,minute limit,111,limit,"head,subsumption",2
4397,scontrol command,1336,command,"head,subsumption",2
4673,single script,197,script,"head,subsumption",2
163,munge daemon,1268,daemon,"head,subsumption",2
5686,entire cluster,272,cluster,"head,subsumption",2
2363,compute resource,830,resource,"head,subsumption",2
6774,late version,985,version,"head,subsumption",2
157,large cluster,272,cluster,"head,subsumption",2
3495,effective usage,53,usage,"head,subsumption",2
2797,priority partition,416,partition,"head,subsumption",2
5724,total count,1026,count,"head,subsumption",2
2959,log file,105,file,"head,subsumption",2
1285,fini function,64,function,"head,subsumption",2
5459,prolog script,197,script,"head,subsumption",2
1333,source code,1788,code,"head,subsumption",2
